epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.9508,0.48312,0.98062,1,0.05074,0.00045728,0.00045728,0.00045728
2,38.9384,0.06138,0.99612,1,0.01332,0.000910459,0.000910459,0.000910459
3,56.3318,0.03795,0.99612,1,0.00865,0.00134496,0.00134496,0.00134496
4,73.9283,0.02361,1,1,0.00025,0.00134412,0.00134412,0.00134412
5,91.7487,0.01951,1,1,0.00023,0.00131582,0.00131582,0.00131582
6,108.961,0.04936,0.99612,1,0.00517,0.00128753,0.00128753,0.00128753
7,127.354,0.02293,0.99612,1,0.00602,0.00125923,0.00125923,0.00125923
8,147.258,0.01697,1,1,1e-05,0.00123094,0.00123094,0.00123094
9,165.804,0.02374,1,1,0.00017,0.00120265,0.00120265,0.00120265
10,183.778,0.00651,1,1,4e-05,0.00117435,0.00117435,0.00117435
11,202.406,0.00561,1,1,1e-05,0.00114606,0.00114606,0.00114606
12,221.65,0.00607,1,1,1e-05,0.00111776,0.00111776,0.00111776
13,239.65,0.0098,1,1,8e-05,0.00108947,0.00108947,0.00108947
14,257.6,0.00373,1,1,1e-05,0.00106118,0.00106118,0.00106118
15,277.829,0.01543,1,1,0,0.00103288,0.00103288,0.00103288
16,295.898,0.00977,1,1,1e-05,0.00100459,0.00100459,0.00100459
17,314.023,0.0115,1,1,0.00034,0.000976293,0.000976293,0.000976293
18,335.705,0.00663,1,1,6e-05,0.000947999,0.000947999,0.000947999
19,354.358,0.00435,1,1,3e-05,0.000919704,0.000919704,0.000919704
20,373.497,0.00527,1,1,0,0.00089141,0.00089141,0.00089141
21,396.315,0.00914,1,1,0,0.000863116,0.000863116,0.000863116
22,414.007,0.00361,1,1,0,0.000834822,0.000834822,0.000834822
23,431.613,0.00763,1,1,0,0.000806528,0.000806528,0.000806528
24,450.194,0.00263,1,1,0,0.000778233,0.000778233,0.000778233
25,467.819,0.00194,1,1,0,0.000749939,0.000749939,0.000749939
26,487.183,0.00466,1,1,0,0.000721645,0.000721645,0.000721645
27,504.602,0.00301,1,1,0,0.000693351,0.000693351,0.000693351
28,522.521,0.00337,1,1,2e-05,0.000665057,0.000665057,0.000665057
29,539.655,0.00449,1,1,6e-05,0.000636762,0.000636762,0.000636762
30,556.9,0.00253,1,1,1e-05,0.000608468,0.000608468,0.000608468
31,574.665,0.00321,1,1,0,0.000580174,0.000580174,0.000580174
32,591.99,0.00843,1,1,0,0.00055188,0.00055188,0.00055188
33,609.25,0.0011,1,1,0,0.000523586,0.000523586,0.000523586
34,626.728,0.01457,1,1,0,0.000495291,0.000495291,0.000495291
35,644.365,0.01291,1,1,0,0.000466997,0.000466997,0.000466997
36,662.194,0.00149,1,1,0.00012,0.000438703,0.000438703,0.000438703
37,681.277,0.00634,1,1,1e-05,0.000410409,0.000410409,0.000410409
38,702.396,0.00364,1,1,0,0.000382115,0.000382115,0.000382115
39,724.336,0.00164,1,1,0,0.00035382,0.00035382,0.00035382
40,745.412,0.00267,1,1,0,0.000325526,0.000325526,0.000325526
41,765.74,0.00616,1,1,0,0.000297232,0.000297232,0.000297232
42,785.326,0.00126,1,1,0,0.000268938,0.000268938,0.000268938
43,804.402,0.00091,1,1,1e-05,0.000240644,0.000240644,0.000240644
44,822.637,0.00063,1,1,0,0.000212349,0.000212349,0.000212349
45,840.928,0.00492,1,1,0,0.000184055,0.000184055,0.000184055
46,861.351,0.00049,1,1,0,0.000155761,0.000155761,0.000155761
47,883.911,0.00234,1,1,0,0.000127467,0.000127467,0.000127467
48,910.069,0.00087,1,1,0,9.91726e-05,9.91726e-05,9.91726e-05
49,936.871,0.00166,1,1,0,7.08784e-05,7.08784e-05,7.08784e-05
50,961.774,0.00054,1,1,0,4.25842e-05,4.25842e-05,4.25842e-05
