epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,722.876,1.19448,5.65486,0.01541,0.42832,0.78947,0.63137,0.49448,0.88,5.44213,0.01303,0.000554291,0.000554291,0.000554291
2,1369.55,1.31546,3.14668,0.01673,0.7105,0.80114,0.89263,0.65109,0.99939,2.45677,0.01464,0.00109897,0.00109897,0.00109897
3,2014.59,1.32926,2.0772,0.01714,0.41786,0.64803,0.62625,0.39477,1.31694,2.23777,0.02217,0.00163265,0.00163265,0.00163265
4,2674.88,1.38463,1.57381,0.01799,0.83312,0.78125,0.90263,0.60407,1.20548,1.15163,0.01886,0.00161749,0.00161749,0.00161749
5,3319.44,1.3547,1.36679,0.01721,0.88745,0.85163,0.93767,0.69305,0.91199,0.92677,0.01336,0.00160099,0.00160099,0.00160099
6,3961.03,1.35248,1.22697,0.01738,0.69702,0.86349,0.79558,0.55295,1.12043,1.08754,0.01592,0.00158448,0.00158448,0.00158448
7,4603.88,1.29372,1.1419,0.01698,0.97298,0.88487,0.98044,0.77164,0.89526,0.52566,0.01316,0.00156798,0.00156798,0.00156798
8,5246.47,1.30625,1.1239,0.01666,0.81644,0.89165,0.95054,0.77087,0.77557,0.56466,0.0118,0.00155148,0.00155148,0.00155148
9,5890.42,1.29176,1.06455,0.01657,0.7091,0.99227,0.92895,0.74014,0.73513,0.64873,0.01127,0.00153497,0.00153497,0.00153497
10,6531.55,1.26508,0.97628,0.01572,0.84836,0.96477,0.98422,0.83514,0.66901,0.4078,0.00931,0.00151847,0.00151847,0.00151847
11,7171.57,1.25258,0.91911,0.01584,0.75307,0.83717,0.87665,0.69203,0.78666,0.77243,0.01061,0.00150197,0.00150197,0.00150197
12,7814.55,1.25457,0.87928,0.01587,0.95395,0.88195,0.97714,0.83891,0.64243,0.43768,0.00912,0.00148546,0.00148546,0.00148546
13,8542.16,1.2486,0.85131,0.01561,0.9326,0.97368,0.99262,0.75947,0.9193,0.38092,0.0136,0.00146896,0.00146896,0.00146896
14,9207.67,1.23253,0.8294,0.01573,0.82525,0.94737,0.97783,0.7999,0.71977,0.45926,0.01082,0.00145246,0.00145246,0.00145246
15,9879.37,1.20851,0.8466,0.01555,0.93551,0.88603,0.98022,0.82124,0.65899,0.40178,0.01017,0.00143595,0.00143595,0.00143595
16,10568.2,1.19862,0.77762,0.01549,0.99173,0.99271,0.995,0.87315,0.58854,0.25436,0.00869,0.00141945,0.00141945,0.00141945
17,11274,1.21223,0.76471,0.01539,0.91692,0.85936,0.97651,0.76713,0.86092,0.4253,0.01307,0.00140295,0.00140295,0.00140295
18,11950.3,1.18186,0.72791,0.01487,0.91138,0.90555,0.9729,0.83783,0.62117,0.33786,0.00965,0.00138644,0.00138644,0.00138644
19,12601.4,1.16729,0.69476,0.01484,0.93758,0.94919,0.98954,0.85164,0.57705,0.32301,0.00849,0.00136994,0.00136994,0.00136994
20,13256,1.16168,0.7219,0.01498,0.96699,0.98691,0.98725,0.8563,0.57507,0.30151,0.00845,0.00135344,0.00135344,0.00135344
21,13995.6,1.1766,0.68355,0.01462,0.99535,0.95165,0.99065,0.86227,0.61558,0.27436,0.00941,0.00133693,0.00133693,0.00133693
22,14685.6,1.15689,0.67105,0.01438,0.9742,0.96377,0.995,0.86915,0.58925,0.24161,0.00899,0.00132043,0.00132043,0.00132043
23,15360.1,1.13491,0.6672,0.01403,0.96515,1,0.995,0.86011,0.57028,0.22423,0.00851,0.00130393,0.00130393,0.00130393
24,16006.9,1.13974,0.62612,0.01415,0.99083,0.97799,0.995,0.86136,0.60302,0.22587,0.00946,0.00128742,0.00128742,0.00128742
25,16649.7,1.11126,0.60342,0.01417,0.98642,0.94016,0.98848,0.86172,0.5743,0.30722,0.00773,0.00127092,0.00127092,0.00127092
26,17288.1,1.11893,0.614,0.01395,0.97064,0.96103,0.97645,0.86532,0.54718,0.30149,0.00813,0.00125442,0.00125442,0.00125442
27,17955.7,1.12392,0.6033,0.01404,0.96223,0.96875,0.98011,0.8704,0.50813,0.26233,0.00731,0.00123791,0.00123791,0.00123791
28,18701.2,1.07092,0.57724,0.01354,0.97046,0.94029,0.98664,0.8754,0.52241,0.25374,0.00756,0.00122141,0.00122141,0.00122141
