epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9636,0.9203,3.31265,1.15285,0.01907,0.98718,0.32755,0.269,0.57967,2.93393,0.86877,5.716e-05,5.716e-05,5.716e-05
2,77.1691,0.79103,2.96928,1.03456,0.01842,1,0.4096,0.34666,0.56872,2.82489,0.83253,0.000126064,0.000126064,0.000126064
3,101.457,0.7068,2.37685,0.97187,0.01777,1,0.34485,0.28568,0.60531,2.63199,0.85621,0.000192138,0.000192138,0.000192138
4,125.416,0.77079,2.00552,1.01809,0.01775,1,0.36544,0.30423,0.63647,2.53101,0.86132,0.000255382,0.000255382,0.000255382
5,149.119,0.71435,1.84808,0.97055,0.0185,1,0.52629,0.44023,0.63214,2.42657,0.86022,0.000315798,0.000315798,0.000315798
6,176.321,0.72607,1.54083,1.0016,0.82571,0.1545,0.63689,0.50018,0.80711,2.34669,0.92281,0.000373383,0.000373383,0.000373383
7,203.91,0.70041,1.35171,1.01073,0.62673,0.66383,0.7396,0.58806,0.76627,1.93517,0.90183,0.00042814,0.00042814,0.00042814
8,228.605,0.70063,1.24663,0.97612,0.63614,0.87345,0.81014,0.64794,0.7749,1.57979,0.92382,0.000480067,0.000480067,0.000480067
9,252.261,0.66271,1.09709,0.96673,0.73013,0.84427,0.8935,0.70658,0.76877,1.40446,0.92047,0.000529164,0.000529164,0.000529164
10,276.602,0.72642,1.1224,0.99559,0.67401,0.81803,0.86701,0.6719,0.78113,1.40509,0.94474,0.000575433,0.000575433,0.000575433
11,304.381,0.6591,0.90257,0.96584,0.73673,0.80812,0.87246,0.6868,0.77231,1.39475,0.94052,0.000618871,0.000618871,0.000618871
12,329.222,0.62167,0.85392,0.9515,0.81409,0.85551,0.90182,0.73376,0.71224,1.12061,0.88969,0.000659481,0.000659481,0.000659481
13,354.89,0.62179,0.82915,0.94336,0.81532,0.83706,0.90042,0.73748,0.67496,1.0559,0.87153,0.000697261,0.000697261,0.000697261
14,380.008,0.67396,0.86477,0.99858,0.79619,0.82119,0.8693,0.69964,0.72523,1.19963,0.9125,0.000732211,0.000732211,0.000732211
15,404.806,0.61434,0.82284,0.94245,0.84296,0.69393,0.78159,0.58425,0.90569,1.84322,1.09753,0.000764332,0.000764332,0.000764332
16,428.711,0.6692,0.93684,0.99318,0.88022,0.61203,0.75618,0.56787,0.90339,1.99942,1.12437,0.000793624,0.000793624,0.000793624
17,453.442,0.64735,0.83118,0.95765,0.87043,0.65465,0.78165,0.62899,0.7338,1.83021,1.02216,0.000820086,0.000820086,0.000820086
18,478.222,0.63914,0.80476,0.96054,0.83655,0.68867,0.81588,0.67691,0.69269,1.68606,0.98665,0.000843719,0.000843719,0.000843719
19,502.328,0.64836,0.76384,0.93693,0.82435,0.76025,0.87137,0.73687,0.67225,1.47325,0.93259,0.000864522,0.000864522,0.000864522
20,527.284,0.6606,0.8147,0.9491,0.76485,0.80911,0.89051,0.73988,0.71146,1.33493,0.90267,0.000882496,0.000882496,0.000882496
21,551.407,0.61619,0.79848,0.93097,0.78179,0.86454,0.89838,0.76946,0.6158,1.17922,0.87234,0.000863116,0.000863116,0.000863116
22,575.861,0.64414,0.75496,0.96875,0.79939,0.90772,0.89789,0.75851,0.63582,1.10852,0.89208,0.000834822,0.000834822,0.000834822
