epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0058,2.05724,3.92346,0.0053,0.01003,0.07278,0.03757,0.02033,1.32318,3.34372,0.00329,0.000465978,0.000465978,0.000465978
2,27.25,1.75566,2.38147,0.00481,0.67689,0.4969,0.49883,0.29463,1.37497,1.83342,0.00334,0.000937647,0.000937647,0.000937647
3,40.0789,1.67989,1.94034,0.00418,0.80109,0.49499,0.51053,0.32602,1.27865,1.45667,0.00313,0.0014046,0.0014046,0.0014046
4,53.0489,1.55472,1.75488,0.0038,0.52789,0.65737,0.59542,0.35,1.26976,1.56374,0.00314,0.00140778,0.00140778,0.00140778
5,65.1646,1.6091,1.70078,0.00414,0.71376,0.56342,0.66182,0.39768,1.26978,1.38415,0.00324,0.00140071,0.00140071,0.00140071
6,78.3209,1.56629,1.66074,0.00434,0.81137,0.54476,0.73745,0.45005,1.24855,1.31203,0.00311,0.00139363,0.00139363,0.00139363
7,92.0076,1.50237,1.45366,0.00353,0.69259,0.67987,0.73519,0.43803,1.25732,1.23303,0.00324,0.00138656,0.00138656,0.00138656
8,105.921,1.52101,1.37892,0.00383,0.79941,0.68194,0.82729,0.50459,1.26953,0.97854,0.00324,0.00137949,0.00137949,0.00137949
9,119.008,1.49806,1.28885,0.00367,0.74151,0.76674,0.82778,0.47676,1.36006,1.00372,0.00345,0.00137241,0.00137241,0.00137241
10,132.217,1.5256,1.23953,0.00384,0.76535,0.74836,0.822,0.51227,1.21966,0.90736,0.00317,0.00136534,0.00136534,0.00136534
11,145.442,1.46544,1.15309,0.00341,0.76444,0.77355,0.84998,0.52922,1.24813,0.87124,0.00314,0.00135826,0.00135826,0.00135826
12,157.488,1.47527,1.14156,0.0036,0.76596,0.80711,0.84612,0.5377,1.23083,0.82114,0.00321,0.00135119,0.00135119,0.00135119
13,169.908,1.48108,1.16099,0.004,0.74913,0.78515,0.85768,0.5342,1.21039,0.91385,0.00306,0.00134412,0.00134412,0.00134412
14,183.067,1.48397,1.13854,0.00399,0.74359,0.77608,0.8428,0.54236,1.19377,0.81001,0.00304,0.00133704,0.00133704,0.00133704
15,196.356,1.47083,1.14884,0.00377,0.78833,0.78038,0.84358,0.51782,1.28544,0.81653,0.00325,0.00132997,0.00132997,0.00132997
16,209.473,1.43896,1.04107,0.00366,0.77644,0.836,0.8838,0.56035,1.22776,0.7829,0.00304,0.0013229,0.0013229,0.0013229
17,222.462,1.45325,1.06385,0.0037,0.79338,0.78703,0.86561,0.57431,1.14872,0.73635,0.00294,0.00131582,0.00131582,0.00131582
18,235.936,1.44976,1.06188,0.00386,0.8354,0.8183,0.90088,0.57611,1.1977,0.7309,0.00304,0.00130875,0.00130875,0.00130875
19,248.553,1.4614,0.99558,0.00359,0.78134,0.84118,0.88493,0.57283,1.18529,0.71806,0.00294,0.00130168,0.00130168,0.00130168
20,260.38,1.4305,0.99905,0.00345,0.85134,0.77804,0.90816,0.61137,1.14835,0.67474,0.0029,0.0012946,0.0012946,0.0012946
21,273.002,1.40495,0.94694,0.00344,0.79142,0.8145,0.88982,0.58924,1.15185,0.67953,0.0029,0.00128753,0.00128753,0.00128753
22,286.105,1.37992,0.98713,0.00385,0.916,0.76656,0.90943,0.57739,1.22079,0.70873,0.00302,0.00128046,0.00128046,0.00128046
23,299.258,1.37212,0.90341,0.00316,0.87117,0.8205,0.91351,0.61059,1.13153,0.63615,0.00282,0.00127338,0.00127338,0.00127338
24,312.214,1.43252,0.93258,0.00344,0.80215,0.84339,0.89843,0.58834,1.16081,0.66626,0.003,0.00126631,0.00126631,0.00126631
25,325.319,1.38635,0.9233,0.00362,0.81679,0.83522,0.89813,0.59609,1.15519,0.64757,0.00289,0.00125923,0.00125923,0.00125923
26,337.698,1.37824,0.90247,0.00334,0.8072,0.86455,0.90748,0.61785,1.09919,0.60722,0.00276,0.00125216,0.00125216,0.00125216
27,349.608,1.39813,0.90855,0.00348,0.79462,0.89206,0.91177,0.61175,1.13425,0.62863,0.00285,0.00124509,0.00124509,0.00124509
28,362.534,1.41735,0.90856,0.00364,0.8074,0.87085,0.90797,0.60495,1.13668,0.64163,0.00286,0.00123801,0.00123801,0.00123801
29,375.642,1.40267,0.91169,0.00377,0.85363,0.83936,0.91855,0.56408,1.32526,0.65362,0.00335,0.00123094,0.00123094,0.00123094
30,388.504,1.36938,0.86143,0.00342,0.78116,0.8612,0.90111,0.61658,1.10425,0.61672,0.00275,0.00122387,0.00122387,0.00122387
31,401.196,1.38291,0.86148,0.00335,0.8509,0.79983,0.9044,0.59291,1.17513,0.59719,0.00294,0.00121679,0.00121679,0.00121679
32,414.203,1.37231,0.8092,0.00313,0.83891,0.86071,0.91357,0.62353,1.12277,0.55489,0.00287,0.00120972,0.00120972,0.00120972
33,425.984,1.35662,0.82537,0.00334,0.87956,0.84806,0.93111,0.61908,1.17335,0.54712,0.00289,0.00120265,0.00120265,0.00120265
34,437.682,1.36539,0.81652,0.00333,0.84027,0.88744,0.92039,0.62521,1.11112,0.56159,0.00278,0.00119557,0.00119557,0.00119557
35,450.652,1.36222,0.77023,0.00301,0.89803,0.82242,0.92563,0.64148,1.08831,0.5305,0.00269,0.0011885,0.0011885,0.0011885
36,463.497,1.36335,0.8002,0.00336,0.84328,0.88718,0.92428,0.61319,1.17411,0.53809,0.00292,0.00118143,0.00118143,0.00118143
37,476.402,1.37021,0.76387,0.00313,0.84855,0.86786,0.92359,0.63586,1.09715,0.52688,0.00273,0.00117435,0.00117435,0.00117435
38,489.399,1.35617,0.81483,0.00342,0.81351,0.92086,0.91914,0.62876,1.10747,0.52161,0.00272,0.00116728,0.00116728,0.00116728
39,502.646,1.32833,0.77537,0.00321,0.83377,0.87877,0.91391,0.61838,1.10869,0.53861,0.00275,0.00116021,0.00116021,0.00116021
40,514.428,1.3794,0.78551,0.00336,0.8817,0.8629,0.93521,0.63221,1.13529,0.51224,0.00283,0.00115313,0.00115313,0.00115313
41,526.802,1.41219,0.8203,0.00345,0.84688,0.86967,0.91788,0.60805,1.17293,0.53816,0.00296,0.00114606,0.00114606,0.00114606
42,539.84,1.37289,0.77452,0.0035,0.84991,0.88316,0.92443,0.5937,1.24661,0.54572,0.0032,0.00113898,0.00113898,0.00113898
43,552.829,1.35859,0.74176,0.00319,0.84371,0.89788,0.92512,0.60749,1.20241,0.54681,0.00305,0.00113191,0.00113191,0.00113191
44,566.276,1.36978,0.81832,0.00355,0.84606,0.83856,0.91173,0.62359,1.1076,0.52203,0.0028,0.00112484,0.00112484,0.00112484
45,579.399,1.35187,0.78098,0.00346,0.85609,0.91259,0.9371,0.61851,1.16851,0.52541,0.00304,0.00111776,0.00111776,0.00111776
46,592.426,1.35929,0.80871,0.00367,0.85483,0.83378,0.91725,0.61813,1.13653,0.55728,0.00288,0.00111069,0.00111069,0.00111069
47,604.825,1.32385,0.75753,0.00336,0.83854,0.92383,0.94144,0.60743,1.20701,0.53696,0.00309,0.00110362,0.00110362,0.00110362
48,616.926,1.35772,0.7687,0.00351,0.8588,0.89855,0.92614,0.62272,1.14984,0.51037,0.00289,0.00109654,0.00109654,0.00109654
49,629.865,1.30844,0.7283,0.00321,0.82534,0.88838,0.92042,0.6359,1.07899,0.51747,0.00273,0.00108947,0.00108947,0.00108947
50,642.84,1.32994,0.74181,0.00337,0.85418,0.92386,0.93897,0.633,1.12073,0.50736,0.00282,0.0010824,0.0010824,0.0010824
51,655.964,1.34578,0.729,0.00327,0.84565,0.91154,0.92725,0.61355,1.16917,0.50078,0.003,0.00107532,0.00107532,0.00107532
52,669.131,1.36152,0.76031,0.00345,0.88004,0.88346,0.94386,0.63852,1.10157,0.50092,0.00274,0.00106825,0.00106825,0.00106825
53,682.192,1.32141,0.73241,0.00344,0.92773,0.83683,0.93866,0.64474,1.08509,0.48921,0.00278,0.00106118,0.00106118,0.00106118
54,694.857,1.31358,0.70809,0.00323,0.86094,0.86586,0.92959,0.60791,1.17916,0.49219,0.00299,0.0010541,0.0010541,0.0010541
55,706.684,1.33233,0.69706,0.00328,0.91951,0.84194,0.93848,0.64419,1.08181,0.47749,0.00277,0.00104703,0.00104703,0.00104703
56,719.53,1.35122,0.72367,0.00336,0.83467,0.90336,0.92732,0.63257,1.09133,0.47962,0.00278,0.00103995,0.00103995,0.00103995
57,732.639,1.3584,0.71947,0.00343,0.83214,0.91383,0.92858,0.62197,1.14576,0.5011,0.00292,0.00103288,0.00103288,0.00103288
58,745.77,1.3285,0.72465,0.00355,0.84899,0.88232,0.92159,0.62483,1.09486,0.50283,0.00273,0.00102581,0.00102581,0.00102581
59,758.948,1.37117,0.72387,0.0033,0.82301,0.88023,0.89889,0.59354,1.19872,0.60018,0.00305,0.00101873,0.00101873,0.00101873
60,771.838,1.30825,0.67394,0.00313,0.84896,0.89536,0.92952,0.64016,1.08558,0.49353,0.00272,0.00101166,0.00101166,0.00101166
61,784.248,1.35447,0.72825,0.0036,0.85864,0.90266,0.9252,0.62836,1.11499,0.50805,0.00287,0.00100459,0.00100459,0.00100459
62,796.149,1.30373,0.69223,0.00313,0.84042,0.84898,0.92606,0.60236,1.18087,0.51542,0.00294,0.000997513,0.000997513,0.000997513
63,809.186,1.31157,0.674,0.00315,0.86682,0.88638,0.94033,0.64849,1.09214,0.49062,0.00271,0.00099044,0.00099044,0.00099044
