epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.587,1.19931,5.60645,0.01511,0.48456,0.6521,0.57154,0.3481,1.06046,3.19213,0.01914,0.000554564,0.000554564,0.000554564
2,240.666,1.29806,3.14755,0.01704,0.62284,0.69304,0.7187,0.44371,1.09036,1.32251,0.01937,0.00109924,0.00109924,0.00109924
3,347.459,1.35993,2.09734,0.01778,0.74311,0.78047,0.82795,0.4981,1.13744,1.04664,0.02045,0.00163291,0.00163291,0.00163291
4,456.143,1.36105,1.61949,0.01776,0.72275,0.78544,0.82123,0.51065,1.1873,0.95319,0.02072,0.00161749,0.00161749,0.00161749
5,561.255,1.3501,1.46902,0.0178,0.76607,0.81912,0.86971,0.53666,1.16815,0.82971,0.02054,0.00160099,0.00160099,0.00160099
6,665.99,1.34164,1.39638,0.0174,0.7125,0.74747,0.81863,0.51691,1.06899,1.05032,0.01911,0.00158448,0.00158448,0.00158448
7,772.281,1.33328,1.24074,0.01742,0.8222,0.85056,0.91522,0.61595,1.05412,0.65475,0.01883,0.00156798,0.00156798,0.00156798
8,880.248,1.29756,1.20246,0.01695,0.77847,0.81757,0.88509,0.57387,1.15311,0.78624,0.02097,0.00155148,0.00155148,0.00155148
9,986.955,1.27343,1.19646,0.01655,0.82634,0.86112,0.91822,0.61436,1.01909,0.70189,0.01813,0.00153497,0.00153497,0.00153497
10,1093.5,1.22915,1.13403,0.01576,0.88257,0.89195,0.95854,0.64285,1.11593,0.53728,0.0199,0.00151847,0.00151847,0.00151847
11,1199.75,1.25111,1.04193,0.0163,0.84177,0.86881,0.93568,0.65104,0.9806,0.60231,0.01716,0.00150197,0.00150197,0.00150197
12,1307.38,1.2606,0.99328,0.01651,0.87186,0.93142,0.96451,0.6864,0.94783,0.48416,0.0166,0.00148546,0.00148546,0.00148546
13,1413.35,1.2257,0.96842,0.01543,0.8836,0.90667,0.95944,0.647,1.07999,0.49775,0.02002,0.00146896,0.00146896,0.00146896
14,1518.93,1.25333,0.95258,0.01611,0.91887,0.90112,0.97198,0.66614,1.05053,0.48555,0.01895,0.00145246,0.00145246,0.00145246
15,1625.05,1.22474,0.91622,0.01597,0.90242,0.93644,0.97551,0.71147,0.93692,0.39476,0.01617,0.00143595,0.00143595,0.00143595
16,1732.42,1.21977,0.90022,0.01538,0.92566,0.94206,0.9813,0.71423,0.89749,0.35894,0.01539,0.00141945,0.00141945,0.00141945
17,1838.63,1.19955,0.85634,0.01521,0.92536,0.91687,0.97604,0.70038,0.9785,0.39182,0.01702,0.00140295,0.00140295,0.00140295
18,1943.66,1.20153,0.78982,0.01535,0.91964,0.91848,0.97584,0.70449,0.94481,0.3745,0.01649,0.00138644,0.00138644,0.00138644
19,2049.64,1.21735,0.77232,0.01568,0.9449,0.94711,0.98074,0.70524,0.96596,0.32457,0.01704,0.00136994,0.00136994,0.00136994
20,2155.13,1.20287,0.78859,0.01566,0.92156,0.9387,0.97709,0.71318,0.90711,0.34379,0.01599,0.00135344,0.00135344,0.00135344
21,2261.35,1.2111,0.77626,0.01568,0.93994,0.92844,0.98324,0.71209,0.93653,0.35068,0.01662,0.00133693,0.00133693,0.00133693
22,2366.44,1.19862,0.7695,0.01535,0.89834,0.91974,0.97375,0.71596,0.88074,0.39443,0.01516,0.00132043,0.00132043,0.00132043
23,2471.77,1.17837,0.76463,0.01492,0.9352,0.94517,0.98288,0.73332,0.8965,0.31895,0.01599,0.00130393,0.00130393,0.00130393
24,2579.49,1.1713,0.71373,0.0151,0.95117,0.93323,0.98371,0.70332,1.00452,0.33637,0.01851,0.00128742,0.00128742,0.00128742
25,2687.56,1.16678,0.67542,0.01479,0.93128,0.93717,0.98167,0.73346,0.91043,0.32783,0.0161,0.00127092,0.00127092,0.00127092
26,2793.9,1.11498,0.67695,0.01451,0.93227,0.93832,0.98188,0.69187,1.01653,0.35649,0.01812,0.00125442,0.00125442,0.00125442
27,2901.12,1.13614,0.69114,0.01472,0.93891,0.9361,0.9835,0.73289,0.84347,0.31796,0.01451,0.00123791,0.00123791,0.00123791
28,3008.94,1.11449,0.68642,0.01415,0.94992,0.94558,0.98677,0.73736,0.86074,0.3072,0.01514,0.00122141,0.00122141,0.00122141
29,3115.1,1.12241,0.65356,0.01415,0.94673,0.95198,0.98667,0.75091,0.85052,0.28077,0.01452,0.00120491,0.00120491,0.00120491
30,3220.79,1.12403,0.66347,0.01464,0.94615,0.96186,0.98778,0.74937,0.84121,0.27732,0.01488,0.0011884,0.0011884,0.0011884
31,3328.16,1.1289,0.63308,0.01451,0.9467,0.93786,0.98658,0.74072,0.86451,0.28421,0.01511,0.0011719,0.0011719,0.0011719
32,3437.65,1.11172,0.6312,0.01404,0.9529,0.95745,0.98757,0.75723,0.81676,0.26843,0.01403,0.0011554,0.0011554,0.0011554
33,3546.05,1.11128,0.6175,0.01443,0.95237,0.94014,0.98616,0.76001,0.80409,0.28553,0.0141,0.00113889,0.00113889,0.00113889
34,3654.79,1.06814,0.59859,0.01353,0.96318,0.95194,0.98823,0.75934,0.8617,0.27604,0.01507,0.00112239,0.00112239,0.00112239
35,3762.26,1.09007,0.60541,0.01406,0.93607,0.94886,0.98056,0.76281,0.83004,0.2956,0.01467,0.00110589,0.00110589,0.00110589
36,3869.4,1.08433,0.60448,0.01379,0.95534,0.96673,0.98828,0.75789,0.81708,0.2554,0.01428,0.00108938,0.00108938,0.00108938
37,3975.13,1.06345,0.55749,0.01341,0.97357,0.95995,0.9899,0.78046,0.78278,0.249,0.01363,0.00107288,0.00107288,0.00107288
38,4081.97,1.07521,0.57582,0.01371,0.96787,0.96392,0.9914,0.78197,0.76658,0.24094,0.01327,0.00105638,0.00105638,0.00105638
39,4188.49,1.05242,0.58431,0.01333,0.94402,0.9581,0.98539,0.78263,0.7679,0.25368,0.0136,0.00103987,0.00103987,0.00103987
40,4293.99,1.03114,0.58055,0.01283,0.96908,0.95799,0.98978,0.77994,0.78705,0.24667,0.01354,0.00102337,0.00102337,0.00102337
41,4400.1,1.03629,0.55004,0.01298,0.9624,0.95184,0.98903,0.77521,0.78433,0.25644,0.01365,0.00100687,0.00100687,0.00100687
42,4505.69,1.01918,0.54733,0.01264,0.94699,0.9672,0.98836,0.79008,0.77036,0.24166,0.01336,0.000990365,0.000990365,0.000990365
43,4612.68,1.017,0.55036,0.01287,0.97632,0.97201,0.99265,0.78784,0.76528,0.23535,0.01334,0.000973861,0.000973861,0.000973861
44,4718.29,1.01342,0.5208,0.01268,0.96034,0.96043,0.99018,0.79617,0.72393,0.24585,0.01272,0.000957358,0.000957358,0.000957358
45,4824.31,1.00844,0.52514,0.01291,0.95197,0.95457,0.98673,0.79035,0.74324,0.23726,0.01301,0.000940855,0.000940855,0.000940855
46,4931.04,1.021,0.5492,0.01282,0.96379,0.96425,0.98927,0.77842,0.77463,0.24991,0.01345,0.000924352,0.000924352,0.000924352
47,5040,0.99512,0.5168,0.01249,0.96356,0.96124,0.98956,0.79237,0.74696,0.23483,0.01312,0.000907848,0.000907848,0.000907848
48,5146.86,0.98484,0.5154,0.01227,0.97017,0.96898,0.99144,0.80373,0.71949,0.22618,0.01247,0.000891345,0.000891345,0.000891345
49,5253.66,1.00176,0.49485,0.01279,0.97393,0.96856,0.99142,0.8049,0.72146,0.2275,0.01258,0.000874842,0.000874842,0.000874842
50,5362.65,0.98221,0.48112,0.01219,0.97478,0.96934,0.99157,0.81126,0.70509,0.22442,0.01227,0.000858338,0.000858338,0.000858338
51,5468.33,0.98799,0.49005,0.01211,0.95284,0.97081,0.99093,0.79244,0.73087,0.22744,0.01265,0.000841835,0.000841835,0.000841835
52,5574.32,0.97907,0.51804,0.01208,0.95055,0.96674,0.9896,0.79205,0.72755,0.2286,0.01281,0.000825332,0.000825332,0.000825332
53,5679.92,0.97789,0.48711,0.0123,0.98218,0.95374,0.99132,0.79388,0.74484,0.22895,0.01278,0.000808828,0.000808828,0.000808828
54,5792.01,0.95894,0.46844,0.0118,0.97185,0.97639,0.99293,0.80635,0.70301,0.21558,0.01215,0.000792325,0.000792325,0.000792325
