epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7045,3.54068,3.91507,1.65577,0.00222,0.02381,0.00119,0.00024,2.11343,3.76431,0.98344,8e-05,8e-05,8e-05
2,30.1456,3.06107,3.55004,1.2616,0.03111,0.33333,0.02477,0.00618,2.18248,3.60416,0.92659,0.000178218,0.000178218,0.000178218
3,40.8373,2.78419,2.9523,1.11232,0.04333,0.46429,0.04197,0.01164,2.60496,3.4546,0.98556,0.000274456,0.000274456,0.000274456
4,51.9526,2.30142,1.96611,1.03973,0.04889,0.52381,0.0564,0.01142,2.75284,3.07162,1.00317,0.000368714,0.000368714,0.000368714
5,62.2041,2.22146,1.42709,0.97813,0.07556,0.80952,0.24549,0.10504,2.3419,2.73701,0.95612,0.000460992,0.000460992,0.000460992
6,73.3524,2.46235,1.45143,1.02362,0.07444,0.79762,0.4454,0.15938,2.44273,2.63122,0.99802,0.00055129,0.00055129,0.00055129
7,85.058,2.40367,1.458,1.0782,0.08556,0.91667,0.59001,0.30366,1.89064,2.40866,0.90581,0.000639608,0.000639608,0.000639608
8,97.1505,2.18274,1.28331,0.98802,0.08556,0.91667,0.65925,0.33262,1.90068,2.26812,0.90133,0.000725946,0.000725946,0.000725946
9,107.82,2.53755,1.30287,1.03019,0.71898,0.48734,0.67206,0.3085,2.11601,2.14191,0.93842,0.000810304,0.000810304,0.000810304
10,118.253,2.04683,1.17828,0.98193,0.72338,0.56038,0.71664,0.33937,2.10137,1.78066,0.91876,0.000892682,0.000892682,0.000892682
11,128.801,1.92506,1.09689,0.95778,0.66697,0.64373,0.73961,0.39731,1.95011,1.52706,0.90107,0.00097308,0.00097308,0.00097308
12,142.862,1.87069,1.14775,0.9588,0.7089,0.69584,0.77366,0.33814,2.22369,1.34422,0.9668,0.0010515,0.0010515,0.0010515
13,157.181,2.37464,1.23412,0.98852,0.76443,0.69048,0.74769,0.38468,2.04846,1.32083,0.93599,0.00112794,0.00112794,0.00112794
14,168.511,2.03593,1.13619,0.96506,0.76443,0.69048,0.74769,0.38468,2.04846,1.32083,0.93599,0.00120239,0.00120239,0.00120239
15,179.699,2.26028,1.17005,0.95923,0.75767,0.70723,0.77878,0.40761,1.89907,1.36857,0.90552,0.00127487,0.00127487,0.00127487
16,190.587,2.0926,1.11298,0.96356,0.8069,0.67857,0.77409,0.3386,2.18764,1.40865,0.95192,0.00134537,0.00134537,0.00134537
17,202.193,1.9527,1.12509,0.946,0.86229,0.79762,0.8222,0.38452,2.06811,1.15116,0.93796,0.00141389,0.00141389,0.00141389
