epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.738,2.6235,2.20354,1.15136,0.76635,0.73375,0.75635,0.35427,1.88106,1.55563,0.83704,0.00024,0.00024,0.00024
2,378.521,1.87746,0.91107,0.91244,0.82243,0.83901,0.84871,0.38236,1.84225,1.33647,0.82854,0.000497525,0.000497525,0.000497525
3,522.378,1.84448,0.8654,0.89516,0.85132,0.86378,0.87731,0.36782,2.05409,1.95126,0.8497,0.000752476,0.000752476,0.000752476
4,665.988,2.05402,0.95739,0.92196,0.87303,0.8483,0.85493,0.35595,1.89502,1.39289,0.82921,0.00100485,0.00100485,0.00100485
5,794.205,1.90684,0.88813,0.93634,0.08106,0.52941,0.05842,0.03493,1.66208,369.627,0.80492,0.00125466,0.00125466,0.00125466
6,921.316,1.66078,0.89664,0.90793,0.9146,0.89523,0.90265,0.41855,1.78395,0.87358,0.81541,0.00150189,0.00150189,0.00150189
7,1049.68,1.73284,0.91458,0.90701,0.78952,0.74324,0.72093,0.25875,2.19496,1.22215,0.85521,0.00174654,0.00174654,0.00174654
8,1176.42,1.8898,0.84565,0.90696,0.16047,0.59752,0.12167,0.05444,2.07728,39.4339,0.8646,0.0019307,0.0019307,0.0019307
9,1307.64,1.76189,0.82313,0.93159,0.00593,0.04954,0.00311,0.00195,3.26134,5452.12,2.52243,0.0019208,0.0019208,0.0019208
10,1438.82,1.75395,0.80701,0.92348,0,0,0,0,4.22869,18401.5,3.77827,0.0019109,0.0019109,0.0019109
11,1567.39,1.88782,0.84259,0.93143,0.02664,0.20433,0.01523,0.00808,2.92161,1947.99,3.43189,0.001901,0.001901,0.001901
12,1695,1.87703,0.82521,0.91014,0.92303,0.89111,0.93257,0.46738,1.73285,0.76743,0.82625,0.0018911,0.0018911,0.0018911
13,1823.18,1.78993,0.78041,0.90446,0.91251,0.81424,0.84844,0.41462,1.76841,0.92298,0.83244,0.0018812,0.0018812,0.0018812
14,1949.63,1.64651,0.72794,0.87937,0.87328,0.78019,0.82225,0.386,1.90757,0.83388,0.85321,0.0018713,0.0018713,0.0018713
15,2075.83,1.7203,0.7152,0.87497,0.86183,0.75232,0.80644,0.36251,1.92947,0.94023,0.85395,0.0018614,0.0018614,0.0018614
16,2203.65,1.79536,0.78706,0.92747,0.85903,0.69805,0.77066,0.34296,1.93606,0.97857,0.87316,0.0018515,0.0018515,0.0018515
17,2333.01,1.70797,0.7616,0.90911,0.19018,0.5387,0.14369,0.06936,1.84868,5.63779,0.86778,0.0018416,0.0018416,0.0018416
18,2460.68,1.63115,0.68322,0.87747,0.2006,0.79257,0.18031,0.09445,1.67399,7.6924,0.84496,0.0018317,0.0018317,0.0018317
19,2589.35,1.50407,0.64624,0.86899,0.91229,0.78328,0.83201,0.42145,1.72618,0.75333,0.83089,0.0018218,0.0018218,0.0018218
20,2716,1.60332,0.69161,0.87134,0.94245,0.65914,0.68681,0.39922,1.70437,0.86335,0.89087,0.0018119,0.0018119,0.0018119
21,2849.8,1.50383,0.67531,0.87975,0.92795,0.63158,0.65873,0.38519,1.59483,0.88499,0.85929,0.001802,0.001802,0.001802
22,2976.38,1.49541,0.72295,0.91025,0.95734,0.94118,0.94851,0.5437,1.50959,0.63251,0.79869,0.0017921,0.0017921,0.0017921
23,3103.86,1.44275,0.60182,0.85756,0.96791,0.93397,0.95246,0.51611,1.55696,0.70597,0.79742,0.0017822,0.0017822,0.0017822
24,3230.27,1.46796,0.67206,0.89583,0.94046,0.92914,0.93372,0.52179,1.52695,0.66991,0.79822,0.0017723,0.0017723,0.0017723
25,3356.08,1.55937,0.65226,0.86932,0.95974,0.9257,0.95016,0.54764,1.51043,0.59419,0.79441,0.0017624,0.0017624,0.0017624
26,3484.69,1.41316,0.6366,0.89234,0.95326,0.94118,0.94811,0.53649,1.53817,0.64303,0.80109,0.0017525,0.0017525,0.0017525
27,3611.07,1.3871,0.56999,0.83873,0.96763,0.95046,0.95989,0.57054,1.43386,0.58256,0.79418,0.0017426,0.0017426,0.0017426
28,3739.19,1.43759,0.58489,0.84741,0.94954,0.93206,0.94037,0.54015,1.48719,0.54428,0.79493,0.0017327,0.0017327,0.0017327
29,3864.85,1.40677,0.61708,0.85653,0.95394,0.94118,0.94808,0.52464,1.55349,0.56021,0.80456,0.0017228,0.0017228,0.0017228
30,3991.35,1.36119,0.62521,0.87654,0.95926,0.94737,0.96415,0.5886,1.39252,0.52572,0.79949,0.0017129,0.0017129,0.0017129
31,4118.4,1.32369,0.56543,0.86454,0.95061,0.93498,0.95596,0.58219,1.40085,0.53424,0.79464,0.001703,0.001703,0.001703
32,4244.02,1.34535,0.57053,0.84394,0.94809,0.95975,0.97007,0.58905,1.41699,0.54491,0.79989,0.0016931,0.0016931,0.0016931
33,4370.87,1.35763,0.6048,0.85582,0.9354,0.94142,0.94677,0.5239,1.53533,0.54842,0.80258,0.0016832,0.0016832,0.0016832
34,4496.93,1.3166,0.58251,0.86156,0.95451,0.95046,0.96519,0.59356,1.38361,0.52126,0.79333,0.0016733,0.0016733,0.0016733
35,4625.16,1.29142,0.64222,0.89218,0.93548,0.93808,0.95622,0.57098,1.43297,0.53591,0.79277,0.0016634,0.0016634,0.0016634
36,4751.68,1.4351,0.6345,0.86643,0.97445,0.9446,0.96607,0.57626,1.48085,0.53631,0.80616,0.0016535,0.0016535,0.0016535
37,4878.26,1.30322,0.56849,0.86684,0.96368,0.96594,0.9691,0.60412,1.36825,0.51133,0.79616,0.0016436,0.0016436,0.0016436
38,5006.62,1.37434,0.59165,0.84251,0.96879,0.96107,0.96825,0.56149,1.4408,0.53524,0.79546,0.0016337,0.0016337,0.0016337
39,5132.48,1.35256,0.63818,0.8813,0.95307,0.94316,0.95838,0.55676,1.47941,0.55645,0.79893,0.0016238,0.0016238,0.0016238
40,5260.07,1.31714,0.61913,0.88024,0.96842,0.94954,0.96474,0.58787,1.40603,0.56016,0.79746,0.0016139,0.0016139,0.0016139
41,5386.73,1.35072,0.59183,0.8668,0.95857,0.93123,0.95253,0.55676,1.45973,0.59002,0.80492,0.001604,0.001604,0.001604
42,5513.39,1.24754,0.55057,0.84534,0.9627,0.94737,0.96717,0.5902,1.38016,0.55078,0.79596,0.0015941,0.0015941,0.0015941
43,5639.71,1.35462,0.60371,0.87707,0.95972,0.95894,0.9579,0.59835,1.35516,0.56109,0.79517,0.0015842,0.0015842,0.0015842
44,5766.11,1.40791,0.57927,0.8402,0.97173,0.95794,0.96929,0.56881,1.45681,0.55324,0.79968,0.0015743,0.0015743,0.0015743
45,5893.34,1.36753,0.56657,0.84148,0.96839,0.94851,0.9671,0.57054,1.47951,0.55773,0.81105,0.0015644,0.0015644,0.0015644
46,6020.12,1.39607,0.60105,0.85019,0.9737,0.97523,0.97564,0.58457,1.42518,0.52953,0.80053,0.0015545,0.0015545,0.0015545
47,6148.84,1.34105,0.56922,0.83261,0.96537,0.95975,0.97248,0.57708,1.43725,0.53027,0.80546,0.0015446,0.0015446,0.0015446
48,6274.56,1.22242,0.52952,0.82311,0.97169,0.95626,0.97459,0.59458,1.40486,0.53037,0.80316,0.0015347,0.0015347,0.0015347
49,6400.2,1.2222,0.51898,0.83504,0.95666,0.95682,0.9671,0.52843,1.61835,0.56416,0.8195,0.0015248,0.0015248,0.0015248
50,6526.83,1.43721,0.55642,0.84386,0.95893,0.95666,0.96553,0.52236,1.64869,0.56952,0.81937,0.0015149,0.0015149,0.0015149
51,6653.36,1.33108,0.54291,0.82494,0.9537,0.95659,0.96579,0.58606,1.44175,0.55841,0.79225,0.001505,0.001505,0.001505
52,6780.03,1.19712,0.51928,0.8309,0.96199,0.95356,0.97068,0.58441,1.4162,0.52648,0.79505,0.0014951,0.0014951,0.0014951
53,6906.56,1.31994,0.58274,0.85844,0.97447,0.95666,0.97117,0.59079,1.42974,0.51932,0.79561,0.0014852,0.0014852,0.0014852
54,7034.55,1.27833,0.55513,0.85514,0.96606,0.96929,0.97851,0.58513,1.47462,0.54555,0.80898,0.0014753,0.0014753,0.0014753
55,7161.13,1.28855,0.60401,0.88565,0.97509,0.96938,0.97828,0.61917,1.34664,0.51643,0.79914,0.0014654,0.0014654,0.0014654
56,7287.93,1.23333,0.51509,0.84239,0.96292,0.96485,0.96729,0.60744,1.37125,0.51291,0.80066,0.0014555,0.0014555,0.0014555
57,7413.21,1.28676,0.54459,0.83013,0.96898,0.96712,0.97401,0.60974,1.38924,0.52157,0.79991,0.0014456,0.0014456,0.0014456
58,7538.79,1.17417,0.49813,0.82429,0.97499,0.96559,0.97188,0.61923,1.35834,0.50712,0.79684,0.0014357,0.0014357,0.0014357
59,7666.72,1.1455,0.53912,0.85799,0.96896,0.96642,0.97889,0.63138,1.3168,0.5008,0.79394,0.0014258,0.0014258,0.0014258
60,7795.58,1.23792,0.51605,0.82119,0.96534,0.95666,0.97361,0.61193,1.38777,0.53048,0.79529,0.0014159,0.0014159,0.0014159
61,7922.62,1.23124,0.53821,0.83912,0.95958,0.95557,0.96546,0.58318,1.44987,0.5368,0.80159,0.001406,0.001406,0.001406
62,8049.29,1.22793,0.57953,0.8722,0.97217,0.97329,0.97522,0.6254,1.32139,0.51442,0.79445,0.0013961,0.0013961,0.0013961
63,8175.38,1.26389,0.51221,0.81742,0.96402,0.96594,0.97226,0.60131,1.4042,0.53161,0.79872,0.0013862,0.0013862,0.0013862
64,8302.85,1.18993,0.54058,0.85038,0.969,0.96782,0.97416,0.61869,1.35893,0.52071,0.79771,0.0013763,0.0013763,0.0013763
65,8428.7,1.18969,0.52471,0.81943,0.96598,0.95356,0.96425,0.62066,1.32131,0.50699,0.7898,0.0013664,0.0013664,0.0013664
